Date;Price;Volume
2020-01-02;1.58;17814400
2020-01-03;1.47;14175600
2020-01-06;1.46;13579200
2020-01-07;1.38;20912000
2020-01-08;1.43;22517600
2020-01-09;1.39;10572000
2020-01-10;1.36;11125600
2020-01-13;1.36;14500800
2020-01-14;1.18;50247600
2020-01-15;1.15;19924400
2020-01-16;1.15;17148400
2020-01-17;1.19;16078000
2020-01-21;1.15;14128400
2020-01-22;1.14;10510000
2020-01-23;1.15;7520800
2020-01-24;1.08;16654400
2020-01-27;1.07;8490000
2020-01-28;1.05;8579600
2020-01-29;1.03;6210400
2020-01-30;0.98;12026000
2020-01-31;0.96;11566800
2020-02-03;0.99;8102400
2020-02-04;1.02;14252400
2020-02-05;1.04;10566800
2020-02-06;1.03;6041200
2020-02-07;0.95;10969200
2020-02-10;0.99;11108000
2020-02-11;1.0;13660000
2020-02-12;1.05;19282400
2020-02-13;1.03;8326800
2020-02-14;1.0;6330800
2020-02-18;1.01;5870400
2020-02-19;1.04;10372400
2020-02-20;1.03;6249200
2020-02-21;1.01;6782800
2020-02-24;0.93;14265200
2020-02-25;0.89;17791600
2020-02-26;0.85;18899200
2020-02-27;0.87;15518000
2020-02-28;0.9;18768800
2020-03-02;0.96;12833600
2020-03-03;0.91;17130000
2020-03-04;0.94;17030400
2020-03-05;0.99;14397600
2020-03-06;0.98;8387200
2020-03-09;0.93;10928000
2020-03-10;1.06;19452800
2020-03-11;1.03;17656400
2020-03-12;1.0;20493600
2020-03-13;1.15;23148800
2020-03-16;1.09;19466800
2020-03-17;1.06;14248800
2020-03-18;0.94;14606800
2020-03-19;1.05;20158000
2020-03-20;0.94;30888800
2020-03-23;0.95;24039200
2020-03-24;1.04;27222400
2020-03-25;1.04;14368400
2020-03-26;1.1;24742800
2020-03-27;1.05;28099200
2020-03-30;0.91;13402400
2020-03-31;0.88;9203600
2020-04-01;0.81;18274800
2020-04-02;0.71;16257200
2020-04-03;0.7;15321600
2020-04-06;0.77;13362000
2020-04-07;0.82;11347600
2020-04-08;0.85;11538000
2020-04-09;0.97;23634400
2020-04-13;1.18;27378000
2020-04-14;1.49;54026400
2020-04-15;1.32;29999600
2020-04-16;1.26;13487600
2020-04-17;1.22;22612800
2020-04-20;1.4;24340000
2020-04-21;1.2;16568400
2020-04-22;1.22;10711200
2020-04-23;1.17;9063600
2020-04-24;1.19;8944800
2020-04-27;1.46;29100400
2020-04-28;1.41;20800800
2020-04-29;1.51;13478400
2020-04-30;1.43;8693200
2020-05-01;1.51;16022400
2020-05-04;1.37;16272400
2020-05-05;1.35;8423600
2020-05-06;1.23;13478400
2020-05-07;1.22;10003200
2020-05-08;1.25;9410400
2020-05-11;1.19;6796800
2020-05-12;1.13;10556800
2020-05-13;1.05;11531600
2020-05-14;1.03;8019600
2020-05-15;1.05;7762400
2020-05-18;1.14;9456800
2020-05-19;1.11;7362800
2020-05-20;1.11;10174400
2020-05-21;1.11;7887600
2020-05-22;1.04;9519600
2020-05-26;1.11;14182800
2020-05-27;1.17;12586400
2020-05-28;1.08;8735600
2020-05-29;1.01;15846800
2020-06-01;1.03;10446400
2020-06-02;1.04;9477600
2020-06-03;1.11;12149600
2020-06-04;1.12;14057200
2020-06-05;1.03;25097600
2020-06-08;1.25;40534800
2020-06-09;1.24;32293600
2020-06-10;1.27;42425600
2020-06-11;1.09;24944000
2020-06-12;1.18;17512800
2020-06-15;1.17;15636000
2020-06-16;1.16;12485200
2020-06-17;1.19;14374000
2020-06-18;1.24;13695200
2020-06-19;1.22;29466400
2020-06-22;1.22;12715600
2020-06-23;1.21;12821600
2020-06-24;1.1;11904800
2020-06-25;1.12;9803200
2020-06-26;1.09;15204800
2020-06-29;1.1;8524800
2020-06-30;1.09;15556000
2020-07-01;1.11;9214800
2020-07-02;1.07;7550400
2020-07-06;1.06;8563600
2020-07-07;1.02;9826400
2020-07-08;1.07;8211200
2020-07-09;1.05;7970400
2020-07-10;1.09;5643200
2020-07-13;1.07;16864800
2020-07-14;1.02;9046400
2020-07-15;1.05;5896400
2020-07-16;1.04;5320400
2020-07-17;0.99;12263600
2020-07-20;0.96;13604400
2020-07-21;1.0;13351600
2020-07-22;1.03;10094000
2020-07-23;1.03;12948800
2020-07-24;1.01;8863600
2020-07-27;1.0;9890800
2020-07-28;0.99;18221600
2020-07-29;1.01;11518400
2020-07-30;1.02;9594000
2020-07-31;1.0;7517600
2020-08-03;1.04;10070400
2020-08-04;1.11;41445600
2020-08-05;1.16;19677200
2020-08-06;1.11;7604800
2020-08-07;1.04;13364400
2020-08-10;1.08;18247200
2020-08-11;1.09;12555200
2020-08-12;1.13;12230400
2020-08-13;1.16;8513200
2020-08-14;1.19;13897600
2020-08-17;1.16;9484000
2020-08-18;1.2;15337600
2020-08-19;1.18;10450400
2020-08-20;1.15;9764800
2020-08-21;1.26;42570400
2020-08-24;1.22;18341600
2020-08-25;1.25;11994800
2020-08-26;1.28;11118800
2020-08-27;1.31;13537600
2020-08-28;1.35;16947600
2020-08-31;1.67;151904000
2020-09-01;1.91;92634400
2020-09-02;1.93;52044400
2020-09-03;1.96;57378000
2020-09-04;1.91;30648000
2020-09-08;1.92;39266400
2020-09-09;1.84;36272400
2020-09-10;1.56;62233200
2020-09-11;1.52;24244800
2020-09-14;1.73;40476000
2020-09-15;1.77;22974000
2020-09-16;2.17;77025200
