"word";"count"
"gme";"35"
"yolo";"8"
"update";"8"
"jan";"7"
"monday";"4"
"robinhood";"4"
"wsb";"3"
"hold";"3"
"megathread";"3"
"squeeze";"3"
"short";"3"
"amc";"3"
"buy";"2"
"autists";"2"
"pay";"2"
"really";"2"
"continue";"2"
"shares";"2"
"melvin";"2"
"citron";"2"
"thread";"2"
"billboard";"2"
"left";"2"
"gamestop";"2"
"gonna";"2"
"feb";"2"
"having";"1"
"wait";"1"
"pltr";"1"
"preparing";"1"
"break";"1"
"ceiling";"1"
"thx";"1"
"finally";"1"
"years";"1"
"old";"1"
"dad";"1"
"helping";"1"
"new";"1"
"roof";"1"
"scared";"1"
"able";"1"
"love";"1"
"going";"1"
"moon";"1"
"watching";"1"
"post";"1"
"millions";"1"
"gain";"1"
"porn";"1"
